Min	W5 - 55 ppt Control_4	W5 - 55 ppt Control_13	W5 - 55 ppt Control_7	W5 - 55 ppt Control_11	W5 - 55 ppt Control_6	W5 - 55 ppt Control_8	W5 - 55 ppt Control_5	W5 - 55 ppt Control_12	W5 - 55 ppt Control_2	W5 - 55 ppt Control_1	W5 - 55 ppt Control_9
0	0.0798105110799181	0.08037974800359582	0.07993106891413701	0.07908351651378473	0.07943424370971099	0.08022524587753817	0.08031624195504226	0.07973827684859126	0.07989751746736828	0.08095511301601271	0.07953875210424279
10	0.08061177982035064	0.07992870284679338	0.0799082787762735	0.07967278861558318	0.07954310985633603	0.08047237318833529	0.08051394752506455	0.07960327572462762	0.08067619378721383	0.08107667031862771	0.07963781745273847
20	0.08079131381063598	0.07988343072069146	0.08036656900960071	0.07952273266797079	0.07980488447089386	0.0810947757093096	0.08114405466488943	0.07971621443037251	0.08131698633606392	0.08117386413460821	0.07979687242874973
30	0.08061485729110758	0.080315532824825	0.079942564532438	0.07988584335964874	0.07968859632657269	0.08109944045555818	0.08124258851167594	0.07967464578955254	0.08124745624406424	0.08107750945390249	0.07979687242874973
40	0.0806388515807259	0.08046466916439925	0.08005321164879585	0.07990693612910726	0.07971578843003554	0.08119616422225377	0.08129596828401434	0.07978160709236878	0.0807645034095028	0.08073358478972566	0.07979687242874973
50	0.08053790072914409	0.08011110570673456	0.08052414445628991	0.08006108962171343	0.07985463616926837	0.08099854187352794	0.08137468679813482	0.08062932900136244	0.08055268329738512	0.08063427001921857	0.07979687242874973
60	0.08071327106418684	0.08023045254331453	0.08042225001644651	0.07999663917770206	0.07972814214614667	0.08096858634165278	0.08039833881433169	0.08055822193189567	0.0807879067105583	0.0806130064245716	0.07979687242874973
70	0.0808356809459935	0.08017695276576216	0.08022801738846062	0.07950610901186994	0.0797043987997794	0.08104428097788965	0.08042770011521472	0.07995356725892425	0.08059208549335	0.08082974472961874	0.07979687242874973
80	0.08088848088685725	0.08055990596322524	0.08034545583860754	0.08001848730053922	0.07985001711379557	0.08146293705697777	0.08063172408738842	0.0804856486192099	0.0805494889979139	0.08087413134920678	0.07979687242874973
90	0.08093814768498005	0.07979710902140312	0.0803996495927815	0.08018095349380346	0.07993482896307086	0.081682083171908	0.08096101205141996	0.08014913628735817	0.08084990304732456	0.08058695989755563	0.07979687242874973
100	0.08089509236836305	0.080042703591049	0.08077510412854685	0.07976338143351544	0.08016822366403557	0.08119210438271053	0.08105105903347717	0.08019079481796659	0.08089074694015672	0.08086837465839278	0.07979687242874973
110	0.08092672052427052	0.08008432315350066	0.08049629211696809	0.07986724620047546	0.08028164735048679	0.0810377029361218	0.08085756395470649	0.08011703978209979	0.08075601461517687	0.08099540642396114	0.07979687242874973
