Min	W3 - Replicate 1_8	W3 - Replicate 1_14	W3 - Replicate 1_5	W3 - Replicate 1_4	W3 - Replicate 1_15	W3 - Replicate 1_12	W3 - Replicate 1_11	W3 - Replicate 1_7	W3 - Replicate 1_6	W3 - Replicate 1_3	W3 - Replicate 1_2	W3 - Replicate 1_9	W3 - Replicate 1_13	W3 - Replicate 1_1
0	0.08113313617940404	0.08423576828647159	0.08039509958197291	0.08094375360285787	0.08235020186336353	0.08392317888625002	0.07919391766398426	0.07920682376767106	0.08143464720674608	0.08042198182107484	0.081316957159697	0.08020308801232495	0.08302843915074783	0.08065849004351425
10	0.08072851221475112	0.08362553781490478	0.08042225932128007	0.08102619305286105	0.08315576387139127	0.08352270865177937	0.07955316707242993	0.07926186240317049	0.08178737709625099	0.08067203479330845	0.08169419055212934	0.07974148830024967	0.08400337718111611	0.08065436548610276
20	0.08092290327250566	0.0836384204459634	0.08024743261680056	0.08110024372032358	0.08267357198454388	0.08494840270282991	0.07902919496422357	0.07915713620222678	0.08209342537782369	0.08078622215665657	0.08198390215094524	0.0796821414550147	0.08298282882405737	0.0806257574358094
30	0.08095920325961264	0.0835310786318537	0.08032947944307177	0.08186894196122615	0.08239386721746877	0.0842791070707032	0.07921767960412987	0.07900989579266088	0.08189650483649909	0.08073552330310221	0.08192516865631806	0.07961806197997987	0.08328729977266759	0.08061219073545906
40	0.08081393480524787	0.08269604212728016	0.08043011922412172	0.0820290816555485	0.08237567689211595	0.08391340554355738	0.07920885853912041	0.07910931035099393	0.0816377350518927	0.08054854983261214	0.08199693113993003	0.07969382499366676	0.08286308127459735	0.08059320766550154
50	0.08082729595962257	0.0831802584635376	0.08053033809235215	0.08218824239343285	0.08255311772404078	0.08428708404136033	0.07948466269833711	0.07929348466885612	0.08177444246813423	0.0810718051058408	0.08201262000550824	0.07984504615890832	0.08254599762360422	0.0804891950601811
60	0.08064684640582052	0.08328199826980678	0.08069686852019253	0.08212006337925257	0.08243178595062901	0.0841732512265912	0.07963766182815064	0.07918726192604703	0.08191093188355154	0.08135025154488103	0.08204371905825378	0.07981704170861559	0.08301067059472374	0.08066135237635003
70	0.08048716754211745	0.08275268761210146	0.08035505134878893	0.08185322945945644	0.08253017380410599	0.0845946453697844	0.07927285887257418	0.07914369086181458	0.0819993850462227	0.08126795541229441	0.0818400455657185	0.08002630736211364	0.08349565407148751	0.08043643541959816
80	0.08024337118980186	0.08365911512498064	0.08026278869350155	0.08180642695301008	0.08273694241428135	0.08418060520505287	0.07920104811093441	0.07922485007663704	0.08199937263582985	0.08097543019419477	0.08192287791180464	0.08005941687455434	0.08316030262330422	0.08051208465366003
90	0.08021997005336197	0.08297283395355538	0.08020426867761186	0.081761823832344	0.08300884436084138	0.08397755441635689	0.07974804733569354	0.07925913057856379	0.08185643412783562	0.08116667072361534	0.08161113218498399	0.07975837202291353	0.0834126839938865	0.08045087074615964
