timestamp_localtime,experiment,pioreactor_unit,timestamp,message,source,level,task
2024-05-23 11:30:04,Switching Media Salinity,worker1,2024-05-23T18:30:04.499767Z,Starting pump calibration.,app,INFO,pump_calibration
2024-05-23 11:30:11,Switching Media Salinity,worker1,2024-05-23T18:30:11.691268Z,Starting pump calibration.,app,INFO,pump_calibration
2024-05-23 11:30:19,Switching Media Salinity,worker1,2024-05-23T18:30:19.538601Z,Starting pump calibration.,app,INFO,pump_calibration
2024-05-23 11:30:41,Switching Media Salinity,worker2,2024-05-23T18:30:41.007075Z,Starting pump calibration.,app,INFO,pump_calibration
2024-05-23 11:30:45,Switching Media Salinity,leader1,2024-05-23T18:30:45.465181Z,Starting pump calibration.,app,INFO,pump_calibration
2024-05-23 11:30:47,Switching Media Salinity,worker2,2024-05-23T18:30:47.257894Z,Starting pump calibration.,app,INFO,pump_calibration
2024-05-23 11:30:53,Switching Media Salinity,worker2,2024-05-23T18:30:53.095188Z,Starting pump calibration.,app,INFO,pump_calibration
2024-05-23 11:31:15,Switching Media Salinity,worker3,2024-05-23T18:31:15.199344Z,Starting pump calibration.,app,INFO,pump_calibration
2024-05-23 11:31:20,Switching Media Salinity,worker3,2024-05-23T18:31:20.008572Z,Starting pump calibration.,app,INFO,pump_calibration
2024-05-23 11:31:26,Switching Media Salinity,worker3,2024-05-23T18:31:26.020240Z,Starting pump calibration.,app,INFO,pump_calibration
2024-05-23 11:32:57,Switching Media Salinity,worker3,2024-05-23T18:32:57.474150Z,"Initialized GPIO-12 using hardware-timing, initial frequency = 250.0 hz.",app,DEBUG,PWM@GPIO-12
2024-05-23 11:32:57,Switching Media Salinity,worker3,2024-05-23T18:32:57.546783Z,"Initialized GPIO-13 using hardware-timing, initial frequency = 250.0 hz.",app,DEBUG,PWM@GPIO-13
2024-05-23 11:32:57,Switching Media Salinity,worker3,2024-05-23T18:32:57.561144Z,Running waste continuously.,app,INFO,circulate_media
2024-05-23 11:32:58,Switching Media Salinity,worker3,2024-05-23T18:32:58.581403Z,Running media for 60.0s.,app,INFO,circulate_media
2024-05-23 11:34:01,Switching Media Salinity,worker3,2024-05-23T18:34:01.243547Z,Stopped pumps.,app,INFO,circulate_media
