timestamp_localtime,experiment,pioreactor_unit,timestamp,message,source,level,task
5/23/24 11:41,Switching Media Salinity,leader1,2024-05-23T18:41:25.230484Z,Assigned leader1 to Switching Media Salinity.,ui,INFO,assignment
5/23/24 11:41,Switching Media Salinity,leader1,2024-05-23T18:41:25.245662Z,Assigned worker3 to Switching Media Salinity.,ui,INFO,assignment
5/23/24 11:41,Switching Media Salinity,leader1,2024-05-23T18:41:25.257487Z,Assigned worker1 to Switching Media Salinity.,ui,INFO,assignment
5/23/24 11:41,Switching Media Salinity,leader1,2024-05-23T18:41:25.271104Z,Assigned worker2 to Switching Media Salinity.,ui,INFO,assignment
5/23/24 11:41,Switching Media Salinity,leader1,2024-05-23T18:41:25.293145Z,Assigned worker4 to Switching Media Salinity.,ui,INFO,assignment
5/23/24 11:41,Switching Media Salinity,leader1,2024-05-23T18:41:38.028559Z,Starting pump calibration.,app,INFO,pump_calibration
5/23/24 11:41,Switching Media Salinity,worker3,2024-05-23T18:41:44.124265Z,Stopped media pump.,app,INFO,add_media
5/23/24 11:41,Switching Media Salinity,worker2,2024-05-23T18:41:44.124726Z,Stopped media pump.,app,INFO,add_media
5/23/24 11:41,Switching Media Salinity,worker1,2024-05-23T18:41:44.124940Z,Stopped media pump.,app,INFO,add_media
5/23/24 11:41,Switching Media Salinity,leader1,2024-05-23T18:41:44.125253Z,Stopped media pump.,app,INFO,add_media
5/23/24 11:41,Switching Media Salinity,worker3,2024-05-23T18:41:44.184382Z,Cleaned up GPIO-13.,app,DEBUG,add_media
5/23/24 11:41,Switching Media Salinity,worker2,2024-05-23T18:41:44.186488Z,Cleaned up GPIO-13.,app,DEBUG,add_media
5/23/24 11:41,Switching Media Salinity,worker1,2024-05-23T18:41:44.186880Z,Cleaned up GPIO-13.,app,DEBUG,add_media
5/23/24 11:41,Switching Media Salinity,leader1,2024-05-23T18:41:44.191919Z,Cleaned up GPIO-13.,app,DEBUG,add_media
5/23/24 11:42,Switching Media Salinity,worker3,2024-05-23T18:42:05.861958Z,Stopped waste pump.,app,INFO,remove_waste
5/23/24 11:42,Switching Media Salinity,worker1,2024-05-23T18:42:05.862250Z,Stopped waste pump.,app,INFO,remove_waste
5/23/24 11:42,Switching Media Salinity,worker2,2024-05-23T18:42:05.862276Z,Stopped waste pump.,app,INFO,remove_waste
5/23/24 11:42,Switching Media Salinity,leader1,2024-05-23T18:42:05.865474Z,Stopped waste pump.,app,INFO,remove_waste
5/23/24 11:42,Switching Media Salinity,worker3,2024-05-23T18:42:05.921154Z,Cleaned up GPIO-12.,app,DEBUG,remove_waste
5/23/24 11:42,Switching Media Salinity,worker2,2024-05-23T18:42:05.921340Z,Cleaned up GPIO-12.,app,DEBUG,remove_waste
5/23/24 11:42,Switching Media Salinity,worker1,2024-05-23T18:42:05.922207Z,Cleaned up GPIO-12.,app,DEBUG,remove_waste
5/23/24 11:42,Switching Media Salinity,leader1,2024-05-23T18:42:05.929526Z,Cleaned up GPIO-12.,app,DEBUG,remove_waste
5/23/24 11:45,Switching Media Salinity,leader1,2024-05-23T18:45:06.889813Z,Starting pump calibration.,app,INFO,pump_calibration
